source_service,dependency_class,target,target_kind,protocol,port,confidence,runtime_status,governance_status,evidence_count,evidence_locations,notes
bot-execution,LOCAL_SERVICE,completed-decision,CANONICAL_SERVICE,HTTP,9078,HIGH,CONFIRMED,ACCEPTED,1,backend/services/bot_execution/main.cjs:10,Target is present in the PR-003 canonical service map.
completed-decision,DATABASE,PostgreSQL,DATA_INFRASTRUCTURE,POSTGRESQL,5432_or_configured,MEDIUM,STATICALLY_CONFIRMED,ACCEPTED,10,backend/services/completed_decision/main.cjs:13;backend/services/completed_decision/main.cjs:14;backend/services/completed_decision/main.cjs:16;backend/services/completed_decision/main.cjs:19;backend/services/completed_decision/main.cjs:20;backend/services/completed_decision/main.cjs:21;backend/services/completed_decision/main.cjs:22;backend/services/completed_decision/main.cjs:23;backend/services/completed_decision/main.cjs:24;backend/services/completed_decision/main.cjs:25,Repeated source references were merged into one service edge.
decision-governance-core,LOCAL_SERVICE,completed-decision,CANONICAL_SERVICE,HTTP,9078,HIGH,CONFIRMED,ACCEPTED,1,backend/services/decision_governance_core/main.cjs:10,Target is present in the PR-003 canonical service map.
ndsp-launch-control-v167,LOCAL_SERVICE,ndsp-platform-backend,CANONICAL_SOURCE_ONLY_SERVICE,http,9020,HIGH,NOT_CONFIRMED_RUNNING,ACCEPTED_WITH_WARNING,1,backend/services/ndsp-launch-control-v167/server.py:45,Target exists in PR-003 but is classified SOURCE_ONLY; no running listener was confirmed.
ndsp-layers-api,LOCAL_SERVICE,ndsp-live-decision-quality,CANONICAL_SERVICE,HTTP,9057,HIGH,CONFIRMED,ACCEPTED,2,apps/ndsp-layers-api/app.py:18;apps/ndsp-layers-api/app.py:19,Target is present in the PR-003 canonical service map.
ndsp-live-decision-quality,EXTERNAL_DATA_PROVIDER,api.binance.com,THIRD_PARTY_SERVICE,https,443,HIGH,STATICALLY_CONFIRMED,ACCEPTED,1,backend/ndsp-live-decision-quality/server.py:32,Third-party market-data endpoint.
ndsp-live-decision-quality,EXTERNAL_DATA_PROVIDER,query1.finance.yahoo.com,THIRD_PARTY_SERVICE,https,443,HIGH,STATICALLY_CONFIRMED,ACCEPTED,1,backend/ndsp-live-decision-quality/server.py:33,Third-party market-data endpoint.
ndsp-live-decision-quality,EXTERNAL_DATA_PROVIDER,stooq.com,THIRD_PARTY_SERVICE,https,443,HIGH,STATICALLY_CONFIRMED,ACCEPTED,1,backend/ndsp-live-decision-quality/server.py:34,Third-party market-data endpoint.
ndsp-platform-backend,DATABASE,PostgreSQL,DATA_INFRASTRUCTURE,POSTGRESQL,5432_or_configured,MEDIUM,STATICALLY_CONFIRMED,ACCEPTED,1,backend/server.js:88,Repeated source references were merged into one service edge.
ndsp-trial-register-canonical-wrapper,DATABASE,PostgreSQL,DATA_INFRASTRUCTURE,POSTGRESQL,5432_or_configured,MEDIUM,STATICALLY_CONFIRMED,ACCEPTED,7,backend/ndsp-trial-register-canonical-wrapper/server.js:31;backend/ndsp-trial-register-canonical-wrapper/server.js:32;backend/ndsp-trial-register-canonical-wrapper/server.js:33;backend/ndsp-trial-register-canonical-wrapper/server.js:35;backend/ndsp-trial-register-canonical-wrapper/server.js:36;backend/ndsp-trial-register-canonical-wrapper/server.js:37;backend/ndsp-trial-register-canonical-wrapper/server.js:39,Repeated source references were merged into one service edge.
ndsp-trial-seats-api,DATABASE,PostgreSQL,DATA_INFRASTRUCTURE,POSTGRESQL,5432_or_configured,MEDIUM,STATICALLY_CONFIRMED,ACCEPTED,5,backend/ndsp-trial-seats-api/server.js:34;backend/ndsp-trial-seats-api/server.js:35;backend/ndsp-trial-seats-api/server.js:36;backend/ndsp-trial-seats-api/server.js:37;backend/ndsp-trial-seats-api/server.js:38,Repeated source references were merged into one service edge.
ndsp-user-alert-channels,DATABASE,PostgreSQL,DATA_INFRASTRUCTURE,POSTGRESQL,5432_or_configured,MEDIUM,STATICALLY_CONFIRMED,ACCEPTED,5,backend/ndsp-user-alert-channels/server.js:38;backend/ndsp-user-alert-channels/server.js:39;backend/ndsp-user-alert-channels/server.js:40;backend/ndsp-user-alert-channels/server.js:41;backend/ndsp-user-alert-channels/server.js:42,Repeated source references were merged into one service edge.
password-reset-gateway,DATABASE,PostgreSQL,DATA_INFRASTRUCTURE,POSTGRESQL,5432_or_configured,MEDIUM,STATICALLY_CONFIRMED,ACCEPTED,8,backend/password_reset_gateway/server.js:10;backend/password_reset_gateway/server.js:11;backend/password_reset_gateway/server.js:12;backend/password_reset_gateway/server.js:14;backend/password_reset_gateway/server.js:15;backend/password_reset_gateway/server.js:16;backend/password_reset_gateway/server.js:17;backend/password_reset_gateway/server.js:8,Repeated source references were merged into one service edge.
