path,source_kind,categories,risk,recommended_action,recommendation,flags,owner,consumers,canonical_target,human_review_required
apps/ndsp-governance-bridge/app/core/tdl_v2_policy.py,RUNTIME_IMPLEMENTATION,DIRECTION|TIME,HIGH,REPLACE_OR_WRAP,Split direction calculation from timing orchestration,NONE,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,backend/services/decision_governance_core/,true
backend/app/api/v1/frontend_contract.py,CONTRACT,DIRECTION|TIME,HIGH,ALIGN_CONTRACT,Align with versioned direction/time contracts,NONE,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,backend/services/decision_governance_core/,true
backend/middleware/trialGuard.js,RUNTIME_IMPLEMENTATION,TIME,HIGH,REPLACE_OR_WRAP,Normalize canonical calculations to UTC,LOCAL_TIME_USAGE,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,backend/services/decision_governance_core/,true
backend/ndsp_api_compat_gateway.cjs,INTEGRATION,CORE_EXPANDED|DIRECTION|TIME,HIGH,REPLACE_OR_WRAP,Split direction calculation from timing orchestration,NONE,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,backend/services/decision_governance_core/,true
backend/ndsp_tdl_trade_horizon_addons.cjs,RUNTIME_IMPLEMENTATION,DIRECTION|TIME,HIGH,REPLACE_OR_WRAP,Normalize canonical calculations to UTC,LOCAL_TIME_USAGE,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,backend/services/decision_governance_core/,true
backend/ndsp_trial_register_gateway.cjs,INTEGRATION,DIRECTION|TIME,HIGH,REPLACE_OR_WRAP,Normalize canonical calculations to UTC,LOCAL_TIME_USAGE,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,backend/services/decision_governance_core/,true
backend/ndsp_user_dashboard_gateway.cjs,INTEGRATION,DIRECTION|TIME,HIGH,REPLACE_OR_WRAP,Split direction calculation from timing orchestration,NONE,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,backend/services/decision_governance_core/,true
backend/app/support_layers/quality/decision_quality_stack.py,RUNTIME_IMPLEMENTATION,DIRECTION,MEDIUM,WRAP_OR_REPLACE,Centralize direction computation behind one contract,NONE,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,backend/services/decision_governance_core/,true
backend/app/support_layers/scenario/scenario_engine.py,RUNTIME_IMPLEMENTATION,DIRECTION,MEDIUM,WRAP_OR_REPLACE,Centralize direction computation behind one contract,NONE,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,backend/services/decision_governance_core/,true
backend/ndsp_admin_actions_gateway.cjs,INTEGRATION,TIME,MEDIUM,WRAP_OR_REPLACE,Centralize effective-week and UTC calculations,LEGACY_PATH_REFERENCE,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,backend/services/decision_governance_core/,true
backend/ndsp_device_guard.cjs,RUNTIME_IMPLEMENTATION,DIRECTION,MEDIUM,WRAP_OR_REPLACE,Centralize direction computation behind one contract,NONE,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,backend/services/decision_governance_core/,true
backend/ndsp_layer_name_masking_policy.cjs,RUNTIME_IMPLEMENTATION,DIRECTION,MEDIUM,WRAP_OR_REPLACE,Centralize direction computation behind one contract,NONE,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,backend/services/decision_governance_core/,true
backend/package-lock.json,CONFIG,CORE_EXPANDED,MEDIUM,REVIEW_CONFIGURATION,"Confirm values are explicit, versioned, and UTC-safe",NONE,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,true
backend/tests/pr024-critical-contracts.test.cjs,TEST,CORE_EXPANDED,MEDIUM,ADD_REGRESSION_TESTS,Add approved COT governance fixtures and edge cases,NONE,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,true
apps/ndsp-governance-bridge/app/core/__init__.py,RUNTIME_IMPLEMENTATION,CORE_EXPANDED,LOW,REVIEW,Confirm ownership and consumers,NONE,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,true
apps/ndsp-governance-bridge/policies/admin_snapshot/tdl_v2_policy_admin.py,RUNTIME_IMPLEMENTATION,CORE_EXPANDED|TIME,LOW,REVIEW,Confirm ownership and consumers,NONE,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,backend/services/decision_governance_core/,true
