capability_id,capability_name,gap_type,source_or_algorithm,runtime_service,endpoint_or_contract,data_state,coverage_state,origin_classification,required_action
CAP-0040ADBF81B3,Staging Schema.Canonical,NO_UI_MAPPING,docs/05-runbooks/NDSP_COMMERCIAL_STAGING_SOURCE_DEPLOY_V1_12_20260730_102503/work/staging-schema.canonical.sql::staging-schema.canonical,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,REAL_LIVE,UI_PARTIAL,UNTRACKED,Map capability to an approved screen and visible component
CAP-0066A47FF328,Ndsp Public Decision Quality,NO_UI_MAPPING,backend/app/api/ndsp_public_quality_unique.py::ndsp_public_decision_quality,DISCOVERY_REQUIRED,GET /api/ndsp/public/decision-quality|GET /api/ndsp/public/decision-quality,UNKNOWN,SOURCE_IDENTIFIED,LOCAL_ONLY,Map capability to an approved screen and visible component
CAP-00B5E1DF8F83,Ur,NO_API_CONTRACT,frontend/public-site/src/i18n/locales/ur.ts::ur,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,REAL_LIVE,UI_PARTIAL,ON_MAIN,Complete source-service-API-data-UI evidence chain
CAP-00EA6A75DA18,User Key,NO_UI_MAPPING,backend/services/ndsp-launch-control-v167/server.py::user_key,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,MOCK_ONLY,UI_PARTIAL,UNTRACKED,Map capability to an approved screen and visible component
CAP-00ED621D6D60,Ndsp Attach Dual Scenario Data Quality Public V1,NO_UI_MAPPING,backend/ndsp-live-decision-quality/server.py::_ndsp_attach_dual_scenario_data_quality_public_v1,ndsp-live-decision-quality.service,GET /api/decision/quality-live|GET /api/decision/quality-live/health|GET /api/decision/quality-live|GET /api/decision/quality-live/health,REAL_SNAPSHOT,SERVICE_CONNECTED,LOCAL_ONLY,Map capability to an approved screen and visible component
CAP-016A23635297,Ndsp Admin Action Provided Key,NO_UI_MAPPING,backend/ndsp_admin_extension.cjs::ndspAdminActionProvidedKey,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,REAL_SNAPSHOT,UI_PARTIAL,ON_MAIN,Map capability to an approved screen and visible component
CAP-02136C1E6984,Quality Labels,NO_UI_MAPPING,backend/ndsp-live-decision-quality/server.py::quality_labels,ndsp-live-decision-quality.service,GET /api/decision/quality-live|GET /api/decision/quality-live/health|GET /api/decision/quality-live|GET /api/decision/quality-live/health,REAL_SNAPSHOT,SERVICE_CONNECTED,LOCAL_ONLY,Map capability to an approved screen and visible component
CAP-02AC4C12E6F4,Ndsp Public Summary V548,NO_UI_MAPPING,{ path=/usr/bin/python3 ; argv[]=/usr/bin/python3 /opt/ndsp-public-summary-v548/app.py ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },ndsp-public-summary-v548.service,DISCOVERY_REQUIRED,UNKNOWN,DISCOVERY_REQUIRED,RUNTIME_ONLY,Map capability to an approved screen and visible component
CAP-02AF3B4484BA,Get User Columns,NO_UI_MAPPING,backend/auth_api/ndsp_register_compat_gateway.cjs::getUserColumns,ndsp-register-compat-gateway.service,DISCOVERY_REQUIRED,REAL_SNAPSHOT,UI_PARTIAL,UNTRACKED,Map capability to an approved screen and visible component
CAP-02BD37A79E71,Find User From Sessions,NO_UI_MAPPING,backend/ndsp-access-guard-final/server.js::findUserFromSessions,ndsp-access-guard-final.service,DISCOVERY_REQUIRED,REAL_SNAPSHOT,UI_PARTIAL,LOCAL_ONLY,Map capability to an approved screen and visible component
CAP-03073B90064B,Cot Intelligence Result,NO_UI_MAPPING,backend/app/support_layers/cot/cot_contracts.py::CotIntelligenceResult,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,UNKNOWN,UI_PARTIAL,LOCAL_ONLY,Map capability to an approved screen and visible component
