review_priority,capability_id,capability_name,capability_kind,source_or_algorithm,runtime_service,endpoint_or_contract,data_state,coverage_state,screen,visible_component,origin_classification,required_review
P0,CAP-F5C8984FC6A0,About,API_ENDPOINT,backend/framework/about/about.cjs,DISCOVERY_REQUIRED,GET /about,REAL_SNAPSHOT,UI_PARTIAL,REGISTER,backend/framework/tests/framework.test.cjs,LOCAL_ONLY,"Validate source, runtime owner, real-data calculation, API contract, role, and UI representation"
P0,CAP-8CF3F7EFFA7B,Account Trial,ALGORITHM_OR_BUSINESS_LOGIC,backend/app/api/v1/frontend_contract.py::account_trial,DISCOVERY_REQUIRED,GET /contract/status|POST /auth/register|POST /auth/login|POST /auth/2fa/verify|POST /auth/magic-link|GET /auth/magic-link/verify|POST /auth/forgot|POST /auth/reset|POST /account/activate|GET /account/trial|GET /packages|GET /me/entitlements|POST /payments/checkout|POST /payments/webhook|GET /me/subscription|GET /markets|GET /assets|GET /assets/{asset_id}/decision|GET /assets/{asset_id}/chart|GET /brief/today|GET /me/watchlist|POST /me/watchlist|DELETE /me/watchlist/{asset_id}|GET /me/dashboard|GET /me/alert-prefs|PUT /me/alert-prefs|POST /me/channels/telegram/link|POST /me/channels/telegram/verify|POST /me/channels/email/test|GET /admin/registrations|POST /admin/registrations/{registration_id}/decision|GET /admin/trials|GET /admin/payments|POST /admin/payments/{payment_id}/approve|POST /admin/payments/{payment_id}/reject|GET /admin/layers|GET /admin/health|GET /contract/status|POST /auth/register|POST /auth/login|POST /auth/2fa/verify|POST /auth/magic-link|GET /auth/magic-link/verify|POST /auth/forgot|POST /auth/reset|POST /account/activate|GET /account/trial|GET /packages|GET /me/entitlements|POST /payments/checkout|POST /payments/webhook|GET /me/subscription|GET /markets|GET /assets|GET /assets/{asset_id}/decision|GET /assets/{asset_id}/chart|GET /brief/today|GET /me/watchlist|POST /me/watchlist|DELETE /me/watchlist/{asset_id}|GET /me/dashboard|GET /me/alert-prefs|PUT /me/alert-prefs|POST /me/channels/telegram/link|POST /me/channels/telegram/verify|POST /me/channels/email/test|GET /admin/registrations|POST /admin/registrations/{registration_id}/decision|GET /admin/trials|GET /admin/payments|POST /admin/payments/{payment_id}/approve|POST /admin/payments/{payment_id}/reject|GET /admin/layers|GET /admin/health,UNKNOWN,UI_PARTIAL,TRIAL,DISCOVERY_REQUIRED,LOCAL_ONLY,"Validate source, runtime owner, real-data calculation, API contract, role, and UI representation"
P0,CAP-E739D717BE35,Admin Health,ALGORITHM_OR_BUSINESS_LOGIC,backend/app/api/v1/frontend_contract.py::admin_health,DISCOVERY_REQUIRED,GET /contract/status|POST /auth/register|POST /auth/login|POST /auth/2fa/verify|POST /auth/magic-link|GET /auth/magic-link/verify|POST /auth/forgot|POST /auth/reset|POST /account/activate|GET /account/trial|GET /packages|GET /me/entitlements|POST /payments/checkout|POST /payments/webhook|GET /me/subscription|GET /markets|GET /assets|GET /assets/{asset_id}/decision|GET /assets/{asset_id}/chart|GET /brief/today|GET /me/watchlist|POST /me/watchlist|DELETE /me/watchlist/{asset_id}|GET /me/dashboard|GET /me/alert-prefs|PUT /me/alert-prefs|POST /me/channels/telegram/link|POST /me/channels/telegram/verify|POST /me/channels/email/test|GET /admin/registrations|POST /admin/registrations/{registration_id}/decision|GET /admin/trials|GET /admin/payments|POST /admin/payments/{payment_id}/approve|POST /admin/payments/{payment_id}/reject|GET /admin/layers|GET /admin/health|GET /contract/status|POST /auth/register|POST /auth/login|POST /auth/2fa/verify|POST /auth/magic-link|GET /auth/magic-link/verify|POST /auth/forgot|POST /auth/reset|POST /account/activate|GET /account/trial|GET /packages|GET /me/entitlements|POST /payments/checkout|POST /payments/webhook|GET /me/subscription|GET /markets|GET /assets|GET /assets/{asset_id}/decision|GET /assets/{asset_id}/chart|GET /brief/today|GET /me/watchlist|POST /me/watchlist|DELETE /me/watchlist/{asset_id}|GET /me/dashboard|GET /me/alert-prefs|PUT /me/alert-prefs|POST /me/channels/telegram/link|POST /me/channels/telegram/verify|POST /me/channels/email/test|GET /admin/registrations|POST /admin/registrations/{registration_id}/decision|GET /admin/trials|GET /admin/payments|POST /admin/payments/{payment_id}/approve|POST /admin/payments/{payment_id}/reject|GET /admin/layers|GET /admin/health,UNKNOWN,UI_PARTIAL,TRIAL,DISCOVERY_REQUIRED,LOCAL_ONLY,"Validate source, runtime owner, real-data calculation, API contract, role, and UI representation"
P0,CAP-A069C614B1B1,Admin Layers,ALGORITHM_OR_BUSINESS_LOGIC,backend/app/api/v1/frontend_contract.py::admin_layers,DISCOVERY_REQUIRED,GET /contract/status|POST /auth/register|POST /auth/login|POST /auth/2fa/verify|POST /auth/magic-link|GET /auth/magic-link/verify|POST /auth/forgot|POST /auth/reset|POST /account/activate|GET /account/trial|GET /packages|GET /me/entitlements|POST /payments/checkout|POST /payments/webhook|GET /me/subscription|GET /markets|GET /assets|GET /assets/{asset_id}/decision|GET /assets/{asset_id}/chart|GET /brief/today|GET /me/watchlist|POST /me/watchlist|DELETE /me/watchlist/{asset_id}|GET /me/dashboard|GET /me/alert-prefs|PUT /me/alert-prefs|POST /me/channels/telegram/link|POST /me/channels/telegram/verify|POST /me/channels/email/test|GET /admin/registrations|POST /admin/registrations/{registration_id}/decision|GET /admin/trials|GET /admin/payments|POST /admin/payments/{payment_id}/approve|POST /admin/payments/{payment_id}/reject|GET /admin/layers|GET /admin/health|GET /contract/status|POST /auth/register|POST /auth/login|POST /auth/2fa/verify|POST /auth/magic-link|GET /auth/magic-link/verify|POST /auth/forgot|POST /auth/reset|POST /account/activate|GET /account/trial|GET /packages|GET /me/entitlements|POST /payments/checkout|POST /payments/webhook|GET /me/subscription|GET /markets|GET /assets|GET /assets/{asset_id}/decision|GET /assets/{asset_id}/chart|GET /brief/today|GET /me/watchlist|POST /me/watchlist|DELETE /me/watchlist/{asset_id}|GET /me/dashboard|GET /me/alert-prefs|PUT /me/alert-prefs|POST /me/channels/telegram/link|POST /me/channels/telegram/verify|POST /me/channels/email/test|GET /admin/registrations|POST /admin/registrations/{registration_id}/decision|GET /admin/trials|GET /admin/payments|POST /admin/payments/{payment_id}/approve|POST /admin/payments/{payment_id}/reject|GET /admin/layers|GET /admin/health,UNKNOWN,UI_PARTIAL,TRIAL,DISCOVERY_REQUIRED,LOCAL_ONLY,"Validate source, runtime owner, real-data calculation, API contract, role, and UI representation"
P0,CAP-6F5DF526EE59,Admin Only,ALGORITHM_OR_BUSINESS_LOGIC,backend/ndsp_admin_ui_proxy.cjs::adminOnly,ndsp-admin-ui-proxy.service,GET /api/admin-ui/health|GET /api/admin-ui/summary|GET /api/admin-ui/users|GET /api/admin-ui/payments|GET /api/admin-ui/trials|GET /api/admin-ui/packages|GET /api/admin-ui/markets|GET /api/admin-ui/alerts|POST /api/admin-ui/alerts/channel|POST /api/admin-ui/alerts/test|GET /api/admin-ui/backups|GET /api/admin-ui/governance|POST /api/admin-ui/action,REAL_SNAPSHOT,UI_PARTIAL,TRIAL,DISCOVERY_REQUIRED,ON_MAIN,"Validate source, runtime owner, real-data calculation, API contract, role, and UI representation"
P0,CAP-B2BAF38F8204,Admin Only,ALGORITHM_OR_BUSINESS_LOGIC,backend/auth_api/ndsp_admin_ui_proxy.cjs::adminOnly,ndsp-admin-ui-proxy.service,GET /api/admin-ui/health|GET /api/admin-ui/summary|GET /api/admin-ui/users|GET /api/admin-ui/payments|GET /api/admin-ui/trials|GET /api/admin-ui/packages|GET /api/admin-ui/markets|GET /api/admin-ui/alerts|POST /api/admin-ui/alerts/channel|POST /api/admin-ui/alerts/test|GET /api/admin-ui/backups|GET /api/admin-ui/governance|POST /api/admin-ui/action,REAL_SNAPSHOT,UI_PARTIAL,TRIAL,DISCOVERY_REQUIRED,LOCAL_ONLY,"Validate source, runtime owner, real-data calculation, API contract, role, and UI representation"
P0,CAP-3FBDCF7CE0E5,Admin Payment Approve,ALGORITHM_OR_BUSINESS_LOGIC,backend/app/api/v1/frontend_contract.py::admin_payment_approve,DISCOVERY_REQUIRED,GET /contract/status|POST /auth/register|POST /auth/login|POST /auth/2fa/verify|POST /auth/magic-link|GET /auth/magic-link/verify|POST /auth/forgot|POST /auth/reset|POST /account/activate|GET /account/trial|GET /packages|GET /me/entitlements|POST /payments/checkout|POST /payments/webhook|GET /me/subscription|GET /markets|GET /assets|GET /assets/{asset_id}/decision|GET /assets/{asset_id}/chart|GET /brief/today|GET /me/watchlist|POST /me/watchlist|DELETE /me/watchlist/{asset_id}|GET /me/dashboard|GET /me/alert-prefs|PUT /me/alert-prefs|POST /me/channels/telegram/link|POST /me/channels/telegram/verify|POST /me/channels/email/test|GET /admin/registrations|POST /admin/registrations/{registration_id}/decision|GET /admin/trials|GET /admin/payments|POST /admin/payments/{payment_id}/approve|POST /admin/payments/{payment_id}/reject|GET /admin/layers|GET /admin/health|GET /contract/status|POST /auth/register|POST /auth/login|POST /auth/2fa/verify|POST /auth/magic-link|GET /auth/magic-link/verify|POST /auth/forgot|POST /auth/reset|POST /account/activate|GET /account/trial|GET /packages|GET /me/entitlements|POST /payments/checkout|POST /payments/webhook|GET /me/subscription|GET /markets|GET /assets|GET /assets/{asset_id}/decision|GET /assets/{asset_id}/chart|GET /brief/today|GET /me/watchlist|POST /me/watchlist|DELETE /me/watchlist/{asset_id}|GET /me/dashboard|GET /me/alert-prefs|PUT /me/alert-prefs|POST /me/channels/telegram/link|POST /me/channels/telegram/verify|POST /me/channels/email/test|GET /admin/registrations|POST /admin/registrations/{registration_id}/decision|GET /admin/trials|GET /admin/payments|POST /admin/payments/{payment_id}/approve|POST /admin/payments/{payment_id}/reject|GET /admin/layers|GET /admin/health,UNKNOWN,UI_PARTIAL,TRIAL,DISCOVERY_REQUIRED,LOCAL_ONLY,"Validate source, runtime owner, real-data calculation, API contract, role, and UI representation"
P0,CAP-531AC9AE3E7D,Admin Payment Reject,ALGORITHM_OR_BUSINESS_LOGIC,backend/app/api/v1/frontend_contract.py::admin_payment_reject,DISCOVERY_REQUIRED,GET /contract/status|POST /auth/register|POST /auth/login|POST /auth/2fa/verify|POST /auth/magic-link|GET /auth/magic-link/verify|POST /auth/forgot|POST /auth/reset|POST /account/activate|GET /account/trial|GET /packages|GET /me/entitlements|POST /payments/checkout|POST /payments/webhook|GET /me/subscription|GET /markets|GET /assets|GET /assets/{asset_id}/decision|GET /assets/{asset_id}/chart|GET /brief/today|GET /me/watchlist|POST /me/watchlist|DELETE /me/watchlist/{asset_id}|GET /me/dashboard|GET /me/alert-prefs|PUT /me/alert-prefs|POST /me/channels/telegram/link|POST /me/channels/telegram/verify|POST /me/channels/email/test|GET /admin/registrations|POST /admin/registrations/{registration_id}/decision|GET /admin/trials|GET /admin/payments|POST /admin/payments/{payment_id}/approve|POST /admin/payments/{payment_id}/reject|GET /admin/layers|GET /admin/health|GET /contract/status|POST /auth/register|POST /auth/login|POST /auth/2fa/verify|POST /auth/magic-link|GET /auth/magic-link/verify|POST /auth/forgot|POST /auth/reset|POST /account/activate|GET /account/trial|GET /packages|GET /me/entitlements|POST /payments/checkout|POST /payments/webhook|GET /me/subscription|GET /markets|GET /assets|GET /assets/{asset_id}/decision|GET /assets/{asset_id}/chart|GET /brief/today|GET /me/watchlist|POST /me/watchlist|DELETE /me/watchlist/{asset_id}|GET /me/dashboard|GET /me/alert-prefs|PUT /me/alert-prefs|POST /me/channels/telegram/link|POST /me/channels/telegram/verify|POST /me/channels/email/test|GET /admin/registrations|POST /admin/registrations/{registration_id}/decision|GET /admin/trials|GET /admin/payments|POST /admin/payments/{payment_id}/approve|POST /admin/payments/{payment_id}/reject|GET /admin/layers|GET /admin/health,UNKNOWN,UI_PARTIAL,TRIAL,DISCOVERY_REQUIRED,LOCAL_ONLY,"Validate source, runtime owner, real-data calculation, API contract, role, and UI representation"
P0,CAP-BE68902B1F61,Admin Payments,ALGORITHM_OR_BUSINESS_LOGIC,backend/app/api/v1/frontend_contract.py::admin_payments,DISCOVERY_REQUIRED,GET /contract/status|POST /auth/register|POST /auth/login|POST /auth/2fa/verify|POST /auth/magic-link|GET /auth/magic-link/verify|POST /auth/forgot|POST /auth/reset|POST /account/activate|GET /account/trial|GET /packages|GET /me/entitlements|POST /payments/checkout|POST /payments/webhook|GET /me/subscription|GET /markets|GET /assets|GET /assets/{asset_id}/decision|GET /assets/{asset_id}/chart|GET /brief/today|GET /me/watchlist|POST /me/watchlist|DELETE /me/watchlist/{asset_id}|GET /me/dashboard|GET /me/alert-prefs|PUT /me/alert-prefs|POST /me/channels/telegram/link|POST /me/channels/telegram/verify|POST /me/channels/email/test|GET /admin/registrations|POST /admin/registrations/{registration_id}/decision|GET /admin/trials|GET /admin/payments|POST /admin/payments/{payment_id}/approve|POST /admin/payments/{payment_id}/reject|GET /admin/layers|GET /admin/health|GET /contract/status|POST /auth/register|POST /auth/login|POST /auth/2fa/verify|POST /auth/magic-link|GET /auth/magic-link/verify|POST /auth/forgot|POST /auth/reset|POST /account/activate|GET /account/trial|GET /packages|GET /me/entitlements|POST /payments/checkout|POST /payments/webhook|GET /me/subscription|GET /markets|GET /assets|GET /assets/{asset_id}/decision|GET /assets/{asset_id}/chart|GET /brief/today|GET /me/watchlist|POST /me/watchlist|DELETE /me/watchlist/{asset_id}|GET /me/dashboard|GET /me/alert-prefs|PUT /me/alert-prefs|POST /me/channels/telegram/link|POST /me/channels/telegram/verify|POST /me/channels/email/test|GET /admin/registrations|POST /admin/registrations/{registration_id}/decision|GET /admin/trials|GET /admin/payments|POST /admin/payments/{payment_id}/approve|POST /admin/payments/{payment_id}/reject|GET /admin/layers|GET /admin/health,UNKNOWN,UI_PARTIAL,TRIAL,DISCOVERY_REQUIRED,LOCAL_ONLY,"Validate source, runtime owner, real-data calculation, API contract, role, and UI representation"
P0,CAP-968B626DE9C3,Admin Registration Decision,ALGORITHM_OR_BUSINESS_LOGIC,backend/app/api/v1/frontend_contract.py::admin_registration_decision,DISCOVERY_REQUIRED,GET /contract/status|POST /auth/register|POST /auth/login|POST /auth/2fa/verify|POST /auth/magic-link|GET /auth/magic-link/verify|POST /auth/forgot|POST /auth/reset|POST /account/activate|GET /account/trial|GET /packages|GET /me/entitlements|POST /payments/checkout|POST /payments/webhook|GET /me/subscription|GET /markets|GET /assets|GET /assets/{asset_id}/decision|GET /assets/{asset_id}/chart|GET /brief/today|GET /me/watchlist|POST /me/watchlist|DELETE /me/watchlist/{asset_id}|GET /me/dashboard|GET /me/alert-prefs|PUT /me/alert-prefs|POST /me/channels/telegram/link|POST /me/channels/telegram/verify|POST /me/channels/email/test|GET /admin/registrations|POST /admin/registrations/{registration_id}/decision|GET /admin/trials|GET /admin/payments|POST /admin/payments/{payment_id}/approve|POST /admin/payments/{payment_id}/reject|GET /admin/layers|GET /admin/health|GET /contract/status|POST /auth/register|POST /auth/login|POST /auth/2fa/verify|POST /auth/magic-link|GET /auth/magic-link/verify|POST /auth/forgot|POST /auth/reset|POST /account/activate|GET /account/trial|GET /packages|GET /me/entitlements|POST /payments/checkout|POST /payments/webhook|GET /me/subscription|GET /markets|GET /assets|GET /assets/{asset_id}/decision|GET /assets/{asset_id}/chart|GET /brief/today|GET /me/watchlist|POST /me/watchlist|DELETE /me/watchlist/{asset_id}|GET /me/dashboard|GET /me/alert-prefs|PUT /me/alert-prefs|POST /me/channels/telegram/link|POST /me/channels/telegram/verify|POST /me/channels/email/test|GET /admin/registrations|POST /admin/registrations/{registration_id}/decision|GET /admin/trials|GET /admin/payments|POST /admin/payments/{payment_id}/approve|POST /admin/payments/{payment_id}/reject|GET /admin/layers|GET /admin/health,UNKNOWN,UI_PARTIAL,TRIAL,DISCOVERY_REQUIRED,LOCAL_ONLY,"Validate source, runtime owner, real-data calculation, API contract, role, and UI representation"
